,Name,Tickers,Mix
0,Sample,"['VTI', 'USMV', 'VXUS', 'EMGF', 'BIV', 'IAU', 'HYMB', 'VNQ', 'SVXY', 'GRNTF', 'GBTC']","[15, 15, 5, 10, 15, 10, 10, 5, 5, 5, 5]"
1,80-20,"['VTI', 'BIV']","[80, 20]"
